event_id, px, py, pz, eta, phi, mass, p_T
0, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
1, 400.6520200000,  -126.4271031300,  102.0375225000,  0.2049661545,  -0.3056641813,  260.5446028957,  420.1259972150
2, 358.6574420000,  -150.1374744100,  -53.6891785000,  -0.1086594263,  -0.3964455560,  303.3230396019,  388.8141225884
3, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
4, 440.6728540000,  -12.8857449500,  -166.6559082700,  -0.3226730057,  -0.0292327383,  251.6548854720,  440.8612102186
5, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
6, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
7, 338.7497710000,  0.7866580700,  120.1066561850,  0.3081460716,  0.0023222352,  180.1429195241,  338.7506844030
8, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
9, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
10, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
11, 145.0538810000,  -6.1120752550,  -8.1474362000,  -0.0442426739,  -0.0421116743,  113.1916463570,  145.1825948834
12, 445.5373810000,  -127.5586343400,  22.6090701300,  0.0433865490,  -0.2788437444,  237.9249351003,  463.4379818951
13, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
14, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
15, 334.4394770000,  108.9093456180,  12.1522454050,  0.0295522990,  0.3148173373,  212.9194143844,  351.7257587084
16, 146.0893900000,  -8.2971010600,  -1.0974513000,  -0.0057004564,  -0.0567337378,  125.1101870033,  146.3248159287
17, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
18, 206.8120120000,  9.1237337900,  -32.7295855000,  -0.1188286411,  0.0440874863,  180.7041952270,  207.0131658271
19, 283.9716880000,  -43.8532292550,  72.1135248000,  0.2081460703,  -0.1532178417,  189.0778447891,  287.3378243491
20, 152.5822100000,  8.5633771600,  -4.8347047700,  -0.0248673823,  0.0560642237,  120.1519908725,  152.8223224430
21, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
22, 273.8335280000,  -128.7805453300,  56.6264373000,  0.1498412036,  -0.4395965228,  224.0143022861,  302.6040811232
23, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
24, 382.8718100000,  86.0473856400,  -17.1615959000,  -0.0355346473,  0.2210688838,  281.3384607294,  392.4219355084
25, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
26, 166.3925720000,  16.8090053900,  6.0336905000,  0.0274557609,  0.1006786163,  142.5254131640,  167.2394411584
27, 463.1819960000,  119.5019067450,  -60.1667136300,  -0.1102556514,  0.2524957137,  260.3238354956,  478.3495240243
28, 224.7832210000,  33.1101804700,  -45.8868147700,  -0.1635436713,  0.1462466313,  162.4878660114,  227.2086716961
29, 138.8498180000,  -11.3301569000,  -5.4635884000,  -0.0308652802,  -0.0814196914,  109.1621857489,  139.3113219161
30, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
31, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
32, 468.5009500000,  20.0415697460,  249.3447965000,  0.4390371029,  0.0427520116,  287.5880560995,  468.9294239742
33, 130.2552690000,  3.7394478700,  -14.3522147000,  -0.0856200241,  0.0287007280,  105.1179330801,  130.3089351220
34, 230.8408220000,  64.3608563900,  -11.0482462000,  -0.0366049099,  0.2719053855,  183.3775938202,  239.6451646432
35, 323.1455760000,  -10.2571597550,  -101.6300362000,  -0.2635416745,  -0.0317309529,  201.9603566457,  323.3083243819
36, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
37, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
38, 183.8052760000,  -20.4089123300,  18.5483443000,  0.0797947226,  -0.1105825402,  140.4205128363,  184.9348620134
39, 116.0176210000,  4.7499924700,  5.7057921850,  0.0377799725,  0.0409191383,  96.5174866360,  116.1148173618
40, 147.1573500000,  -8.0213980600,  -2.3214713000,  -0.0119564618,  -0.0544550967,  126.3994966239,  147.3758069897
41, 128.9029390000,  5.3579478700,  -13.3075547000,  -0.0804929526,  0.0415418410,  103.0968566117,  129.0142445167
42, 170.2250040000,  20.4749383900,  4.3941375000,  0.0194942332,  0.1197065340,  146.3083222436,  171.4519614611
43, 306.2517210000,  -145.5173612550,  -130.0870062000,  -0.3122127668,  -0.4435756600,  230.4532772653,  339.0655084819
44, 150.8081200000,  9.9056871600,  -6.3412747700,  -0.0330786621,  0.0655898253,  117.8786716355,  151.1330926569
45, 137.4927880000,  -9.7884469000,  -5.0300534000,  -0.0287558280,  -0.0710725269,  107.6546096259,  137.8407793243
46, 264.0494000000,  0.2019866700,  90.9057203000,  0.2709572467,  0.0007649577,  200.3057869647,  264.0494772556
