event_id,px,py,pz,eta,phi,mass,p_T
0,263.1554870000,-146.7489237700,668.4130100000,1.5315790780,-0.5086983253,33.6872794623,301.3072467862
1,272.5607280000,-134.1047310000,116.6958252000,0.3555470900,-0.4572414860,104.9987564401,303.7654182498
2,194.0385740000,-169.5011828000,-58.3183930000,-0.2116469632,-0.7180046231,91.7615067959,257.6463063398
3,-244.3227800000,-519.8599660000,68.3542446100,0.1100706280,-2.0101392463,232.6879176404,574.4110070990
4,292.2660780000,-24.2863231100,-162.8607785000,-0.5099254091,-0.0829061461,87.1525548498,293.2733977702
5,11.3288440000,-258.1786800000,719.3066800000,1.7035717057,-1.5269445983,81.0830056955,258.4271145080
6,-286.8674160000,-163.7904490000,-459.1153500000,-1.1281636304,-2.6227981874,32.5019863061,330.3335065447
7,351.8310700000,16.6881026000,324.1227240000,0.7757462419,0.0473966226,139.0520385757,352.2266239025
8,-329.9348230000,167.5385590000,-670.7495330000,-1.2718745272,2.6717301814,172.0895422098,370.0353445008
9,-680.1753600000,-73.1550040000,-128.8715219000,-0.1819232855,-3.0344513601,168.2796328114,684.0980740810
10,-262.2638600000,124.0190889000,5.6032530000,0.0168021588,2.6998762317,164.4327253164,290.1087152667
11,154.2302910000,-246.2519490000,629.9825100000,1.5061735140,-1.0112548645,43.8718812470,290.5632548142
12,295.6988760000,-139.0094615000,30.8625849000,0.0931427682,-0.4394467236,52.0815393531,326.7437155542
13,-246.6794886100,-313.5992890000,1120.8634900000,1.6241381996,-2.2373174696,228.2294444229,398.9928372317
14,-182.1382630000,-181.4410380000,-85.8093459000,-0.3082837969,-2.3581121575,94.7230313834,257.0898619533
15,295.9292910000,234.1120341480,41.6607712200,0.1004252773,0.6692954339,170.6902045496,377.3361761145
16,-242.8678080000,-222.1748680000,253.2858913000,0.6491787134,-2.4006620200,155.5159150996,329.1602104349
17,-60.8839784000,249.9089690000,-748.3736600000,-1.6852609752,1.8097656930,128.1375280187,257.2184900283
18,295.9666560000,-133.9636273000,-382.2808460000,-0.9921558629,-0.4250395548,49.7795445084,324.8730750665
19,278.8524970000,-238.1011630000,262.9828520000,0.6116512301,-0.7067310814,170.2503957454,366.6754408262
20,269.9796430000,-262.3492900000,766.1124900000,1.3723802837,-0.7710652387,174.9033089068,376.4520654717
21,-261.5920340000,-242.6839270000,191.7146327000,0.4693017002,-2.3936724881,166.8075008602,356.8275223079
22,237.9785480000,-303.3694160000,231.9920250000,0.5373639094,-0.9056084373,144.1102305375,385.5733287876
23,71.3065972000,300.0157000000,265.7472046000,0.7203943268,1.3374497229,140.3638110198,308.3732333565
24,247.1871040000,97.2660223000,-23.3810537000,-0.0751757416,0.3748830328,161.2091982218,265.6353581095
25,218.8285160000,-156.5877050000,-746.1110800000,-1.7051528446,-0.6211011393,79.0972633617,269.0829403212
26,-556.4833610000,199.9228552000,-496.1174580000,-0.7329372160,2.7966913033,186.0328674859,591.3060790328
27,332.0253920000,147.6778420000,-39.7454264300,-0.1015363262,0.4185034653,143.7029817758,363.3863040217
28,312.5454610000,85.2167201100,-429.0532500000,-1.0316785896,0.2661836989,133.3812750474,323.9545563470
29,53.4873677000,-299.8037800000,155.4602140000,0.4868945515,-1.3942459345,38.9170049076,304.5376906161
30,-82.6604718000,353.2586760000,-88.4699252000,-0.2277797789,1.8006548868,129.0305122367,362.8008348495
31,136.1362000000,-260.8176430000,338.5231840000,0.9061303451,-1.0897359848,142.6642739601,294.2089527029
32,326.6189700000,28.8660508060,256.9343678000,0.7133894763,0.0881493382,47.6223882762,327.8920560993
33,4.1034580000,-300.9566540000,-244.2830416000,-0.7161934305,-1.5571624573,87.9867003661,300.9846274387
34,163.8082402000,225.9771850000,117.3869016000,0.3735399100,0.9435612884,128.0224290990,279.1036146272
35,320.3409050000,-20.5550680000,-377.1506100000,-0.8900687964,-0.0640783823,189.0940805337,320.9996981879
36,234.7884300000,231.6463048000,827.4696100000,1.6196152339,0.7786617919,86.5821373910,329.8266474822
37,-214.4342250000,-130.2128263000,-654.8513900000,-1.6682960158,-2.5958673475,51.3447616618,250.8733086328
38,-286.5494600000,-58.4680025100,728.6174100000,1.6105435272,-2.9403140036,80.1101846879,292.4535866489
39,-107.9045877000,-339.8934700000,-1622.4056700000,-2.2014172682,-1.8781988749,70.3125678893,356.6103910367
40,90.2659300000,250.6755560000,-418.5776900000,-1.1605499036,1.2251604773,116.6343214312,266.4323037747
41,-275.1241320000,12.4019784000,191.8352054000,0.5682313700,3.0965453935,163.1362147118,275.4035168203
42,144.3137240000,219.7999000000,-296.4896770000,-0.9094467358,0.9898172758,110.0907378164,262.9419079849
43,245.9379170000,-281.6493530000,-337.0625200000,-0.7515176966,-0.8529832775,165.5314061156,373.9141840899
44,-120.7141360000,-285.1655830000,519.2924910000,1.2357442469,-1.9712367197,113.1148293895,309.6632240967
45,-233.4718430000,-228.2025350000,686.0459900000,1.3924637986,-2.3676074675,159.4778506541,326.4743457827
46,213.0951610000,174.5134150000,522.5595860000,1.2569381513,0.6861870506,169.7731073694,275.4350733959
47,-313.3187160000,-85.0904439000,453.3937900000,1.1105406809,-2.8764107022,82.6644460422,324.6675244600
48,413.1007400000,21.0239864000,-1295.3836100000,-1.8550740958,0.0508492507,39.0152860912,413.6353821818
49,-363.2471140000,145.0998105000,33.5535048100,0.0811087879,2.7615587218,133.2600251712,391.1552387946
50,31.1058676000,-362.4914170000,-628.7776800000,-1.2686065004,-1.4851947056,122.9129032156,363.8235869179
51,-92.7576453000,-242.1119230000,-84.2959992000,-0.2802883572,-1.9366658388,144.5510164747,259.2723741943
52,-220.7635710000,212.5658574800,93.1489813000,0.2974369586,2.3751102047,36.2524207800,306.4650029724
53,-364.4262180000,61.1927377000,-678.4097700000,-1.3586218369,2.9752293363,53.5449740736,369.5281038203
54,-310.3080400000,-16.9037257700,-157.0486150000,-0.4741911914,-3.0871724222,72.4378277481,310.7681058821
55,-294.2188510000,-121.1995390000,707.5029700000,1.4479996755,-2.7508385691,150.5701885291,318.2044319892
56,-252.2630580000,-33.0487172000,-4.4581087000,-0.0171369203,-3.0113256002,54.2279826784,254.4186866959
57,-461.2640480000,214.8140160000,-330.2459720000,-0.5946782916,2.7057536172,124.7701039710,508.8315865268
58,-521.6239000000,172.2809380000,464.5109500000,0.7612707629,2.8225943466,79.0528058933,549.3379785245
59,152.5123847000,257.5753140000,-826.6199100000,-1.7085696603,1.0362000325,79.0357510683,299.3410594440
60,-125.6957094000,-218.4988750000,-689.6985400000,-1.6208504013,-2.0928330191,130.4900682600,252.0737386913
61,-283.5738920000,175.2960080000,259.9103700000,0.7156640440,2.5879220885,19.1363291619,333.3809272360
62,-124.0203450000,-340.0521700000,33.4681750000,0.0918916574,-1.9205150388,35.5267425547,361.9620481427
63,-169.3474280000,205.4810590000,161.3192540000,0.5522807421,2.2600910142,79.0525447123,266.2724487775
64,-259.9755040000,-92.5427640000,-1068.2692600000,-2.0395705469,-2.7996117253,61.4509632820,275.9554780192
65,-255.0911500000,-25.3518009000,-875.7064500000,-1.9400704806,-3.0425346300,17.9165605370,256.3478274088
66,-57.4582608000,244.8408650000,-129.4615610000,-0.4728167015,1.8013011672,79.8586632885,251.4925464265
67,-354.6885700000,104.0826190000,-409.8132190000,-0.9191934159,2.8561577391,120.3344696504,369.6446581063
68,-59.6025760000,-310.4540200000,-401.9406000000,-1.0186537627,-1.7604736015,107.1353753733,316.1236555527
69,-309.8606620000,-217.6129600000,899.4809200000,1.5648446222,-2.5293294503,106.7595459244,378.6410308129
70,-432.4569180000,212.3858000000,498.6362350000,0.8593696231,2.6850787958,180.5777229648,481.7953029739
71,144.6290770000,-307.9426650000,-631.6372180000,-1.2568083179,-1.1317120303,193.0117082605,340.2150126628
72,319.0276680000,23.5236486000,80.9222444000,0.2373585887,0.0736022529,108.3587540029,319.8937557893
73,-227.6235841100,-373.3914230000,-404.1550700000,-0.7744165197,-2.1182529120,180.6621215591,437.3026992977
74,27.2170018000,-267.6532200000,-49.4692430000,-0.1812994101,-1.4694571074,35.5362402526,269.0334762875
75,-300.9374040000,-186.3751590000,-763.8229400000,-1.4854808012,-2.5870916115,87.0927485643,353.9760175754
76,-187.1093079000,483.9942990000,-630.2079030000,-0.9720308758,1.9396926847,201.0120677050,518.9030492947
77,-270.6282100000,-165.3100850000,904.7367400000,1.7638958726,-2.5932418813,38.7622706564,317.1230869087
78,219.7401560000,256.7266470000,437.4566550000,1.0623565729,0.8628693872,61.2612401393,337.9264822987
79,-271.1312300000,18.9015490000,-141.8422330000,-0.4858773867,3.0719916065,70.3741687172,271.7892794720
80,54.3664520000,272.6931590000,294.9988420000,0.9047244904,1.3740079607,64.7192145063,278.0598318141
81,267.5402050000,64.2591543000,-383.0145700000,-1.0886258135,0.2357199336,94.3543323646,275.1490508848
82,-267.5072800000,24.8501046000,-99.3069257000,-0.3460399796,3.0489634318,83.4891113145,268.6590265590
83,121.2932980000,-223.2686790000,-17.4317919300,-0.0648335106,-1.0731412736,87.3438894440,254.0885026169
84,133.2809370000,-235.0268373000,-105.9210696000,-0.3321259186,-1.0549283315,158.2682968651,270.1877540135
85,-288.0625700000,-73.3675290000,-268.1478560000,-0.7244571259,-2.8922019210,164.2891486534,297.2588746305
86,-246.9984260000,-52.3999900000,-114.8677620000,-0.4205453342,-2.9325449756,81.2686879444,252.4955076798
87,-287.4113410000,68.3591690000,-618.3101100000,-1.4515246310,2.9080868967,81.4173734722,295.4289337925
88,-231.8093370000,-158.0603719000,113.9139141000,0.3436704912,-2.5431485782,164.0842333050,280.5684406442
89,286.4062560000,-42.6347421000,222.2043230000,0.6988135654,-0.1477758953,47.8915406203,289.5621948906
90,-261.0281900000,96.3775659000,-55.7817471000,-0.1931385394,2.7878964980,70.4383406809,278.2523156840
91,247.9273600000,182.0930980000,322.3352406700,0.8563190930,0.6334820677,130.2914854332,307.6131859589
92,428.8108300000,16.9630608100,-894.4304370000,-1.4143990782,0.0395377626,171.4452832317,429.1462144274
93,-338.8507060000,-114.9288423000,818.5887700000,1.4579534174,-2.8145960839,184.9953129335,357.8106199502
94,155.2950500000,208.0274300000,-317.5880000000,-1.0188245056,0.9295310398,46.1903870099,259.5996228559
95,372.6019990000,184.7564368300,1163.2047400000,1.7381634220,0.4603258397,72.3282041583,415.8932442453
96,91.2130160000,390.0658500000,-1889.9288100000,-2.2544415512,1.3410838988,19.1140457088,400.5885440499
97,-72.9730770000,287.8685590000,-220.1875821000,-0.6053703250,1.8190611538,170.4691417834,296.9736978717
98,-0.5060123000,308.3625750000,-406.9523910000,-1.0608278581,1.5724372907,85.9159755789,308.3629901740
99,400.9659210000,142.4156576000,92.3561420000,0.2008822608,0.3412833331,165.8196217382,425.5066266617
100,-94.3887471000,236.5662410000,820.1418200000,1.8062766868,1.9504360236,108.6631361772,254.7014369021
101,-323.2561190000,-14.7986757000,1.7932793800,0.0049169198,-3.0958445628,168.2354870172,323.5946836297
102,-131.8785430000,287.9893840000,-584.6269800000,-1.3438598776,2.0002239904,82.2330495369,316.7488522481
103,256.1234600000,54.7877983000,235.2991035000,0.7802882785,0.2107356876,76.9802665900,261.9177916922
104,328.4973220000,130.1364927000,372.2915507000,0.8498317208,0.3771890072,163.8411738323,353.3355307543
105,-268.5420740000,-157.5411371000,25.8955533500,0.0779075854,-2.6110445911,115.4319286139,311.3423443526
106,-166.1685808000,236.1725740000,208.0404381000,0.5785592326,2.1839273976,180.0021983549,288.7723704839
107,-574.9287520000,33.7191916600,-51.9797686200,-0.0862844751,3.0830104217,174.1675971626,575.9167073132
108,-422.1004490000,-360.6531050000,52.9801461000,0.0934070569,-2.4345353492,111.9745487203,555.1931656569
109,-179.5711105000,-700.2737830000,-2483.0895400000,-1.9417870457,-1.8218174108,80.0752069208,722.9309475208
110,-298.4663200000,-145.2998170000,-1027.4094700000,-1.8414883126,-2.6885433301,39.2011069191,331.9550888216
111,338.1921680000,16.2967870000,198.5246815000,0.5454055078,0.0481507023,73.9011640129,338.5845946925
112,178.9717594000,191.4762970000,49.3001970000,0.1859493136,0.8191405231,28.1727426024,262.0955226164
113,325.5639090000,178.6556850000,-785.8956930000,-1.4804537785,0.5018888895,65.8959870834,371.3619698168
114,215.3416290000,-169.0150137000,-397.1113820000,-1.1471030296,-0.6654465139,61.1514330634,273.7482274580
115,-278.8414060000,-160.1899979000,142.0845471000,0.3772864575,-2.6201460548,178.5192682029,321.5794849291
116,-271.1631320000,-101.7311627510,13.6928118000,0.0455072064,-2.7826765373,81.2133607062,289.6181514179
117,159.9478250000,459.1124370000,202.5233110000,0.4050039024,1.2355611033,21.2228399334,486.1764458819
118,-121.9427480000,353.1297470000,575.1472210000,1.1775645044,1.9032957715,116.9390092509,373.5915577286
119,-197.0957950000,197.2736200000,-150.7913851000,-0.4720526205,2.3557435805,130.4746716733,278.8613159880
120,175.9889739500,-215.8403400000,132.6601152000,0.4369723273,-0.8867555719,94.6491321975,278.4944726979
121,-256.7349660000,6.9411780700,137.3589193000,0.4334785625,3.1145628817,168.4922924759,256.8287809417
122,123.5518387700,-238.2934080000,-978.8025900000,-1.8680684679,-1.0924693822,154.4464073849,268.4190849394
123,-368.0164600000,-388.4578680000,-517.2812930000,-0.8246676445,-2.3291791189,169.8916273603,535.1033825739
124,443.2136460000,195.1677800000,1670.9770000000,1.9449599412,0.4147975179,58.9045622616,484.2817344798
125,85.7547990500,272.2396690000,349.1404330000,0.9858013394,1.2656378303,100.8006977040,285.4265631250
126,-278.4561390000,14.0168646700,-173.5265373000,-0.5778411212,3.0912973230,55.1894325633,278.8087047457
127,-684.7138870000,448.4138000000,629.5051880000,0.6836492845,2.5617859444,239.5050742333,818.4791036313
128,101.6720995000,-309.9736920000,455.4898540000,1.0592678300,-1.2538513057,149.8666013306,326.2221720681
129,-109.3256321500,419.7315350000,-182.5959340000,-0.4068939780,1.8256004678,49.9968996656,433.7356975376
130,-274.9583600000,-122.7307846000,-183.0044430000,-0.5745881875,-2.7217687489,17.6600381080,301.1062025638
131,284.1606372000,414.5136540000,-493.8185100000,-0.8307531500,0.9698494203,171.9988657625,502.5622718493
132,-156.1014760000,-199.6865360000,244.6976660000,0.8125351841,-2.2342989387,94.2056991205,253.4608124919
133,267.7531370000,-75.0614158000,141.6287580000,0.4412413850,-0.2733222306,138.8062562299,278.0754547155
134,302.1376770000,-1.5560148000,-543.8403000000,-1.3133434493,-0.0051499735,90.1367575945,302.1416837264
135,258.2737830000,6.9514373000,101.1179199000,0.3645421530,0.0269084975,82.8750859109,258.3673150104
136,188.9805281000,-263.6684170000,-430.9507170000,-1.0908344670,-0.9489265306,35.8723749610,324.3989428531
137,-214.0009600000,133.8064430000,-301.4571300000,-0.9952338027,2.5828057127,54.1239115749,252.3897285335
138,26.2856907000,302.9818940000,196.0599240000,0.5477319882,1.4842563746,153.4887236600,304.1199855771
139,-196.6869480000,193.2278730000,-951.2595900000,-1.9468912320,2.3650656181,28.2658837610,275.7222631883
140,51.9335450000,-364.9682220000,-139.7251231000,-0.3346089553,-1.4294491631,179.1854462159,368.6446746748
141,229.8224900000,-133.1720100000,18.7498970000,0.0660676268,-0.5251765986,99.3547908598,265.6184503329
142,-283.9368900000,-29.2707505100,-897.4042300000,-1.7699934513,-3.0388665980,132.8718262987,285.4416478692
143,-342.3675120000,172.0604514000,-364.3704350000,-0.7864507811,2.6758985955,168.9985674917,383.1713875135
144,-248.5558090000,64.6615080000,563.0861170000,1.5173897152,2.8870851747,36.6132202103,256.8289329583
145,-290.7602980000,117.1122753000,-790.3599100000,-1.5985272883,2.7586924907,113.0892260747,313.4594645548
