event_id,px,py,pz,eta,phi,mass,p_T
0,261.8643555247,-148.4472156987,668.2294149362,1.5301149626,-0.5157149520,39.4563996203,301.0141467491
1,270.4051093728,-130.1869480818,124.4895115933,0.3815802199,-0.4486990123,106.5404852742,300.1125865834
2,193.8382034630,-168.5186853037,-60.8380871939,-0.2210856858,-0.7156370187,92.3567358987,256.8497545614
3,267.8034860189,431.9663190466,70.3407629900,0.1132965648,1.0158267394,354.2633736325,508.2456177032
4,295.4295845756,-30.8343688386,-161.0510484820,-0.5032453367,-0.1039947697,77.2117998666,297.0343376517
5,61.6619419759,-94.1978726376,723.1313471349,1.7452296362,-0.9911940487,234.8760215372,112.5852312593
6,284.6625013016,164.9975287660,-459.3819996268,-1.1295361920,0.5253032128,40.9241435186,329.0241999400
7,335.2510230309,21.9947745693,340.6096524466,0.8353431875,0.0655129954,139.8665631364,335.9717526097
8,334.5492314182,-149.8232753448,-671.4417515596,-1.2751468252,-0.4210530989,176.7534219897,366.5654130951
9,681.0365828159,66.1815773420,-127.3468812333,-0.1797240732,0.0968735348,168.8431403023,684.2447137633
10,265.9927434483,-118.8706185565,8.8068501107,0.0264122592,-0.4202681541,162.0884623222,291.3457799989
11,153.9805224895,-246.3649378911,629.4312797673,1.5017536102,-1.0121899003,51.3841427117,290.5265632059
12,295.7314180179,-138.5159992040,30.9667822408,0.0934590720,-0.4380368240,53.1387488967,326.5635522197
13,289.5445729621,308.4987726686,1114.0791287142,1.5865719103,0.8170812466,217.8052857336,423.0928414306
14,185.3489961460,178.2895301219,-81.3682237103,-0.2913822471,0.7659871856,98.3294872320,257.1797171696
15,299.4113516740,232.4165669729,40.8012317825,0.0983397867,0.6600874255,167.1047597924,379.0311571820
16,251.4009678566,205.8018233056,261.0133097617,0.6754306054,0.6859918417,151.6596086210,324.8951170996
17,73.7722514746,-259.6094706309,-740.3720206264,-1.6127096681,-1.2939284489,147.1516182196,269.8877958132
