event_id,px,py,pz,eta,phi,mass,p_T
0,5219.2411565347,-3044.9530120661,13566.4596394347,1.3269225996,-0.5281310095,4841.8669700678,6042.5339962433
1,9308.7031044348,-4876.8471859914,4287.0765331884,0.3059445478,-0.4825857748,8938.8951686749,10508.8339963112
2,8181.5193066709,-6052.6039216130,-2510.4451715347,-0.1739786765,-0.6369344442,10126.9134805905,10176.9972190894
3,6437.8318317420,4720.2769782470,1759.2503687031,0.1184363506,0.6326680522,12485.3940544565,7982.9000648360
4,10704.7248519397,-1082.4391677155,-5984.5170821526,-0.4201679864,-0.1007753493,8693.4712621532,10759.3126503294
5,2365.1615628263,-539.7485367130,14271.7216708630,1.5324092296,-0.2243656554,5995.3691169321,2425.9673742973
6,7283.0280909255,3973.2701149517,-11754.7920892440,-0.9572795043,0.4994217818,6576.4356120218,8296.3470021196
7,9383.0005955205,-35.6370355650,8785.3818271271,0.6704186455,-0.0037980243,7753.1397496591,9383.0682707652
8,6174.0127454234,-3275.2303881007,-13005.3006984297,-1.1639024798,-0.4877383111,5670.1204808747,6988.9604002161
9,12146.0827218924,1173.4557661072,-2356.6785156687,-0.1515802171,0.0963129553,9538.0575827430,12202.6359415523
10,9373.0809100998,-4683.9033016803,217.1242219040,0.0155487343,-0.4634225005,9229.6823989503,10478.2439314405
11,3665.2339259053,-2632.3647605774,13317.7856565057,1.3064339636,-0.6228354584,6341.4980283080,4512.5695522991
12,10503.7080452292,-5121.5480581733,1188.4974128867,0.0791482154,-0.4536738769,9405.0425138842,11685.8092236521
13,3269.7373623998,2350.5991731063,13806.4854689788,1.5296303457,0.6232952004,4813.5438195987,4026.9714292109
14,7984.9820374922,5513.7828839962,-3535.3200467919,-0.2477467259,0.6043345861,10264.1455726148,9703.6972248171
15,8924.1350507428,6269.7756140129,1630.8925663077,0.1105216803,0.6124446674,9895.1542071458,10906.4326273061
16,7295.6097905192,5043.3844171772,7596.0324037377,0.5763301178,0.6048565915,8776.7257634280,8869.1402398962
17,2305.7910851879,-1562.3217418920,-13679.5818538783,-1.5191019043,-0.5955092271,5640.4041122355,2785.2328006328
18,7754.1258898926,-3694.1526914125,-10309.4325535493,-0.8302064588,-0.4445991476,7028.5099416622,8589.1345561572
19,7166.0388384153,-5379.9328748593,6916.4357125916,0.5263349429,-0.6439835435,8791.1268141189,8960.7918384297
20,4476.8279639077,-3378.1024968840,12939.5520288936,1.2552052695,-0.6464226898,5744.3701302819,5608.3478046462
21,7964.8536366713,5345.3215730771,5823.0557758433,0.4163901732,0.5910749321,9624.8017776066,9592.2550098086
22,6878.2190105313,-5033.7430343249,6664.1659775548,0.4712149348,-0.6317758363,10639.2485698545,8523.4069298872
23,4800.7170820224,2499.2127363305,8008.6439867771,0.6206647056,0.4799848183,10833.9858173250,5412.2960749629
