event_id,px,py,pz,eta,phi,mass,p_T
0,647.9757116664,-363.9875695630,1643.1431573703,1.5298504176,-0.5118045450,72.4040101189,743.2089031396
1,102.7541919110,-95.0263993747,43.4643631711,0.2970438373,-0.7463454763,34.6877309557,139.9587101020
2,126.1306723587,-161.4153971005,-68.5723659670,-0.3097443579,-0.9074975738,74.2234313235,204.8508650964
3,88.6775164157,145.2856506258,38.7797465197,0.2150387954,1.0227891357,55.2595551868,170.2105231630
4,360.2085476910,-75.1293391703,-177.7492983252,-0.4598423684,-0.2056239094,62.6170874128,367.9600731517
5,57.7651893338,-257.1324405361,856.5658270419,1.7960095018,-1.3498136133,126.5800630794,263.5410956091
6,705.0101614763,413.7456270838,-1170.3298116393,-1.1511462466,0.5307052540,91.6425680156,817.4501646680
7,123.2645314943,-33.4271278479,103.6471129618,0.7292872751,-0.2648132363,25.6314887938,127.7165517881
8,152.6034189706,-73.8134620659,-410.9718225875,-1.5979355775,-0.4505184734,36.4274844788,169.5176411577
9,1221.0705818529,188.6227367186,-213.5180576405,-0.1711875120,0.1532618638,118.3100223470,1235.5532779584
10,66.8514499428,-59.9178749501,-5.1101811322,-0.0542301768,-0.7307581825,28.4881379789,89.7734264578
11,156.7776134213,-239.9785867122,641.4166637875,1.5163604132,-0.9921059041,73.1970970416,286.6512552745
12,320.5259815775,-158.7295162627,30.7774197096,0.0846494947,-0.4598128940,62.8325302836,357.6757808395
13,93.3521169426,116.6596525499,481.6144946694,1.8651301339,0.8959278904,32.2215766775,149.4124903438
14,101.1216544155,63.2633903869,-36.3229619581,-0.2893274798,0.5590426241,33.1754628114,119.2805330092
15,125.4523251497,63.5005656289,5.9493389366,0.0409999849,0.4685737155,35.6835263365,140.6079930895
16,100.8152388054,50.4022041547,73.2473911954,0.5941536248,0.4636046364,28.7237061659,112.7124418999
17,7.5776377477,-18.2602351423,-124.1852131504,-1.6301352259,-1.1774429762,46.5761963788,19.7700981608
18,455.6569047694,-214.1905901695,-639.6581381863,-1.0519351723,-0.4394181287,73.9604115104,503.4886530809
19,49.9705163322,-59.8294849555,51.8321711227,0.5472452516,-0.8749482605,45.2760587787,77.9526764938
20,128.5886844324,-127.4845015402,457.3779067092,1.6167573658,-0.7810862084,54.4063937634,181.0727696176
21,234.1669245399,162.3091569927,134.5412387811,0.4486626167,0.6061033198,54.2792433861,284.9182531748
22,56.5068097404,-91.3277443853,72.4066683191,0.5698264755,-1.0167216974,54.5233956734,107.3954209525
23,45.8995472357,97.8801112128,67.8301817508,0.5741308177,1.1323069546,28.8644224443,108.1077453630
24,84.2577579386,6.7899901139,-13.6146452523,-0.1521151920,0.0804121663,28.3490678718,84.5309040445
25,331.7415478790,-257.5329535249,-1054.8721829264,-1.6374256563,-0.6601254828,73.9493133691,419.9710427403
26,162.3918534054,-56.5357145872,-138.3720862640,-0.7052015165,-0.3350202201,56.0280954444,171.9517405446
27,245.7001988494,90.4356171352,-48.5580592690,-0.1807862335,0.3526839253,53.0526396020,261.8151801582
28,315.5074712397,33.3290492479,-420.2484238178,-1.0849177777,0.1052460003,46.4499445293,317.2629665307
29,101.1936854077,-544.8875719478,313.4411402686,0.4973557542,-1.3871735053,242.5669851969,554.2045001889
30,14.6457274710,44.1378051541,-39.7341217606,-0.2965059335,1.2504100032,123.6054938491,46.5042275172
31,19.2888730070,-78.0934714081,89.8710858087,0.8672784782,-1.3286457680,44.0040606037,80.4403561557
32,567.8868426299,41.8845002130,466.2765114572,0.7399174217,0.0736217081,87.7090358691,569.4293436329
33,37.7796761684,-174.4940714771,-208.2687192504,-0.7690316145,-1.3575775243,169.0297663719,178.5370687338
34,90.1945854733,109.6485979566,64.8559746508,0.4192820077,0.8824387949,49.1420141102,141.9784430206
35,51.4347101683,-18.3262301522,-69.7761857290,-1.0149097508,-0.3422769701,20.2249428842,54.6020157292
36,310.8848246738,330.7703089073,962.6338926664,1.4884265443,0.8163791696,60.2556405890,453.9365280158
37,422.8781829643,256.4047636363,-1284.7517109638,-1.6768985324,0.5450627063,56.6540442781,494.5395438613
38,80.0998550537,5.0480711149,203.3693143048,1.6143260716,0.0629389864,25.7547600720,80.2587677553
39,142.2540189187,424.7402449694,-2121.9297797456,-2.2547265366,1.2476184187,44.5985227724,447.9291033134
40,30.5615144156,89.3178073366,-182.5761627226,-1.3751317484,1.2411175717,28.5188117248,94.4016783261
41,69.7890485181,-25.0144317318,46.2932450723,0.5633761860,-0.3441642903,24.1797918455,74.1365840050
42,112.0567392592,159.5360250207,-277.3397398903,-1.1301680415,0.9584671678,44.6912333100,194.9575751101
43,103.7767388291,-92.2957240641,-124.3883127714,-0.7335373885,-0.7269099905,69.4294401685,138.8816481848
44,107.0095934040,171.0173521037,391.2843494545,1.4014021280,1.0116768383,37.2568124100,201.7374229067
45,45.1094661302,21.2067453296,97.5095710337,1.3915512832,0.4394570487,13.7086245589,49.8456616169
46,42.6993722177,17.7765449577,87.5162262145,1.3520871096,0.3944945474,14.6897687012,46.2519398341
47,80.2573315091,12.6137520226,114.2157122745,1.1015089363,0.1558911301,26.1664457096,81.2425135077
48,556.6552265624,49.9107076439,-1775.6605388938,-1.8682562526,0.0894226780,56.0002733808,558.8882893717
49,73.6550652574,-54.1023572359,6.7336816393,0.0698130860,-0.6335309986,30.5932776884,91.3900087348
50,42.5918915359,-273.0738497578,-601.7321198106,-1.3712648047,-1.4160709101,173.7374005278,276.3754631767
51,47.0679053820,61.5138560136,-31.6860910994,-0.3800363288,0.9176635844,25.0414796220,77.4554207187
52,436.8573301879,-430.8617543330,186.5816531621,0.2934589440,-0.7784886917,127.8685200411,613.5846952832
53,816.2712919680,-147.7080827863,-1522.6752448627,-1.3626245758,-0.1790174704,88.5528027263,829.5278776579
54,294.9048046987,3.4066508779,-167.4004613281,-0.5326080082,0.0115511830,54.5175190197,294.9244803413
55,89.5862584389,11.8827095688,156.1012368425,1.2966859523,0.1318701189,18.6045280030,90.3708829645
56,180.2928411727,-4.6040060419,-9.9724685651,-0.0538062497,-0.0255307179,42.3226156559,180.3516161551
57,179.2899511801,-115.2708731941,-156.8569312408,-0.6653878511,-0.5713889708,51.1542716508,213.1484478036
58,609.1726049691,-146.5107718539,507.7594892704,0.7335856272,-0.2360250828,95.4237635066,626.5434293918
59,290.8581298606,391.4210002808,-1212.1927589476,-1.6352360799,0.9317370812,58.7908495284,487.6564889006
60,110.4809721894,176.9559909812,-453.4883491770,-1.5024506649,1.0126706661,39.9375193356,208.6132017876
61,686.2545451851,-431.0217486871,629.8244009589,0.7102364322,-0.5608100302,98.8555781344,810.3857406374
62,220.5703083143,519.1487991901,53.7391691300,0.0940743547,1.1690365169,84.7886495404,564.0627062750
63,43.0225149149,-74.3711478694,60.0245902002,0.5952488909,-1.0463477127,40.8186275764,85.9185918473
64,226.8904641747,61.5811748985,-901.9246058766,-2.0426203411,0.2650289864,36.6612053677,235.0989660447
65,530.4564544607,53.4320352398,-1859.0872886834,-1.9566876426,0.1003897984,57.0365723623,533.1407248269
66,62.7947983731,-114.9306811980,-92.5564296249,-0.4116363672,-1.0707435172,175.0540780601,130.9665918598
67,323.2238225824,-148.8100299136,-409.8826811952,-0.9757165620,-0.4314631706,55.6203485120,355.8343216831
68,43.6805289822,97.3432230758,-138.3436382550,-1.0515806299,1.1490015624,27.2195279907,106.6943845333
69,346.1306728439,254.8526801824,887.8070049545,1.4588912092,0.6346690515,75.4740231746,429.8329108846
70,282.4325941636,-157.7106817800,433.6328132713,1.0870462522,-0.5092703313,65.1268290407,323.4823478855
71,18.0488196817,-37.8670239250,-93.0974201936,-1.3966387870,-1.1260133005,25.4673453506,41.9484373110
72,491.5687085197,72.5503063188,132.2835422041,0.2594743553,0.1465315143,85.1542927237,496.8936929995
73,68.8702071523,105.6989288506,-115.7808720816,-0.7850553814,0.9933184989,43.2218202391,126.1561294324
74,38.5795352974,-259.0731125417,-70.6356673019,-0.1831863266,-1.4229689459,280.0427432893,261.9298726488
75,586.5317225715,283.3541806997,-1392.1334224501,-1.4987793536,0.4500374076,65.6237822339,651.3900930339
76,201.6384558336,-772.9250781222,-982.5289277482,-1.0222820185,-1.3156068779,146.3451839889,798.7936174390
77,577.3301017116,362.7201756908,1884.2113674104,1.7369556977,0.5609485537,62.4663967754,681.8181371858
78,319.2763021000,353.6358401576,603.4034502184,1.0509525071,0.8364148141,63.4890678613,476.4406201476
79,63.4142060436,-21.0313963727,-41.4089460610,-0.5527807875,-0.3202358547,24.6901374616,66.8107862663
80,23.4561867801,93.6764121855,93.9073267332,0.8222842689,1.3254451143,33.7030332014,96.5684363455
81,63.7757806862,12.6305852387,-111.7892261367,-1.2526852750,0.1955167184,24.7443554758,65.0144744315
82,203.9579642199,-58.4635673063,-91.0853367861,-0.4085751856,-0.2791600851,44.8017384752,212.1717225997
83,27.2097400508,-69.0809531059,-10.8336171310,-0.1192258298,-1.1955752377,52.0109169834,74.2465355128
84,25.1461727453,-67.7424869250,-42.1400143572,-0.4544814278,-1.2153592217,52.9865376023,72.2590792809
85,65.7288796277,-4.2407709833,-66.9567344905,-0.8499651054,-0.0644298409,23.7995078883,65.8655430073
86,271.4757185245,29.6556697294,-177.3928048814,-0.6003177938,0.1088073214,54.4620237488,273.0906891410
87,267.7443900697,-38.3506209438,-563.3085548812,-1.4493201065,-0.1422682618,71.9024057811,270.4770388417
88,82.7606901576,37.2268374364,30.2616270549,0.3121872816,0.4226984372,29.3543015362,90.7478333674
89,329.7835589070,-56.2082772234,265.9432841972,0.7182909458,-0.1688176713,61.9364114367,334.5393342400
90,78.0636166168,-45.9661732069,-23.1875223151,-0.2404941107,-0.5321655287,30.2009223212,90.5914859056
91,109.5682713715,90.2592183737,150.1431599557,0.8832760267,0.6890686209,47.6460060706,141.9575027703
92,180.0782006084,26.4865702990,-478.5825815499,-1.6760944076,0.1460366198,36.2265047512,182.0156497133
93,30.9113067535,0.2412001351,63.5779911377,1.4211950369,0.0078028160,10.3494134661,30.9122477784
94,231.3178290732,287.8133108333,-428.5479851446,-0.9816420621,0.8937985612,56.8707151223,369.2484799426
95,679.6063694980,347.4125089139,2123.3978429184,1.7424320674,0.4725647658,76.7615260233,763.2563585140
96,108.3970373797,487.0220892915,-2394.6972898264,-2.2589926539,1.3517949548,83.0147994503,498.9393081032
97,10.2865624328,6.3221005098,-54.8427571908,-0.7418642526,0.5510842196,66.4683673742,12.0740350148
98,56.3357476680,264.0731534132,-363.7822765385,-1.0932296547,1.3606132272,50.4106482557,270.0154566296
99,529.6481542000,211.5653403744,95.9154062622,0.1658882826,0.3800278917,77.2660944161,570.3394256890
100,67.2516107013,-140.9834985019,582.2439979435,1.9666431662,-1.1257030940,56.7622860447,156.2021958609
101,75.2439319834,-20.5173625704,-6.0024090552,-0.0729932692,-0.2662061584,25.8370560633,77.9910986406
102,138.4958429551,-361.0106892138,-647.4061122420,-1.2684210212,-1.2044780097,83.0730677729,386.6649922640
103,460.9684277148,38.7980637435,434.0090671832,0.8283387896,0.0839685190,74.1641658932,462.5982934471
104,374.9490412824,144.3915283853,419.1043867559,0.9029165147,0.3675928007,62.4885267388,401.7906134145
105,164.5535552584,96.9625254539,9.8384000579,0.0494684342,0.5324746255,55.1574844194,190.9963452283
106,29.2011883904,-57.9664863124,49.2322611681,0.5788291400,-1.1041453645,47.5916590764,64.9062627087
107,539.8483530767,-71.9871797192,-23.2780249429,-0.0421485741,-0.1325649991,90.6629276009,544.6268432272
108,236.6924208284,187.1137736677,50.1722621314,0.1614062312,0.6689432354,68.9549983781,301.7198474973
109,231.6169808230,848.2597667026,-3313.6686724302,-1.9554998178,1.3042443000,377.4067722539,879.3128326209
110,467.5842966710,256.3227656387,-1623.1490034396,-1.8277617780,0.5014487807,52.0420786954,533.2320645628
111,184.2462907194,1.6401690744,103.0629468491,0.5188614306,0.0089018115,46.3441042726,184.2535910056
112,390.4353337197,389.6576274605,100.8088554076,0.1798408872,0.7844012232,81.0669597711,551.6092969257
113,745.8822980877,423.4677411888,-1825.7771114796,-1.4954993044,0.5163616134,83.2352615726,857.7093507874
114,421.9609705374,-338.3008474926,-821.8320091556,-1.1948391796,-0.6757979290,87.3380624712,540.8313268211
115,82.4302380783,22.9888086030,34.2026754854,0.3704381006,0.2719772975,28.6739357140,85.5758696750
116,285.7220414925,110.2635421733,1.1481918218,0.0036661211,0.3683028007,65.5155715522,306.2599120473
117,421.5212130410,1167.9341214777,500.3593940486,0.3907712829,1.2244337872,129.6639180027,1241.6723582151
118,78.4651700044,-399.1692849520,588.4921306334,1.1368382717,-1.3766998904,108.1667635167,406.8081869296
119,37.3607395042,-49.6274099095,-47.7943227536,-0.5913929952,-0.9254898659,44.2901311545,62.1184728613
120,65.9223318983,-120.3356439544,74.5782855601,0.4803259242,-1.0696279810,59.2422864891,137.2094058322
121,79.3356920394,-26.0960452871,38.5013683366,0.4267312698,-0.3177841087,26.2406188934,83.5173970559
122,8.3422404551,-19.0072218211,-96.9311958787,-1.9941445125,-1.1572126958,17.0920710943,20.7573470648
123,447.7288686713,433.7653959644,-490.5547308573,-0.7157519704,0.7695588035,92.1893294026,623.3887700126
124,466.1289536100,197.0643094267,1822.3114318793,1.9887190388,0.3999784306,48.2156800083,506.0736541684
125,34.3844063548,58.2655532711,85.8167236166,1.0248371760,1.0376638119,20.5105422049,67.6547270955
126,489.1622166964,-26.8125305808,-312.3315445969,-0.5950702049,-0.0547583713,71.7448706196,489.8965054371
127,252.4838704651,-230.8869229387,333.4391847609,0.8527067396,-0.7407479823,60.1422504304,342.1357567240
128,7.8719753979,-17.9781455305,66.3072229004,1.0322020913,-1.1580807462,50.4208273765,19.6260468098
129,212.8143033840,-779.3368577963,-377.3266607284,-0.4373769494,-1.3042243649,214.2549018317,807.8711937213
130,554.7512701006,224.9835184485,-360.7980259306,-0.5656284806,0.3852880946,88.1063518308,598.6372484666
131,51.1806917727,45.8321009503,-65.5330185612,-0.8066448609,0.7303210824,24.8450054987,68.7025813769
132,54.6590530834,43.0673001340,55.9774854128,0.7042333269,0.6673353891,22.9626799569,69.5873869664
133,62.3764402580,-39.3853051625,32.1133510543,0.4049426950,-0.5631977382,22.6769768335,73.7700654873
134,688.0270706350,-18.5704543328,-1160.3200784355,-1.2877217549,-0.0269843259,80.8815731708,688.2776414360
135,148.5757196388,-23.4716592099,65.1474889706,0.4090450602,-0.1566828785,37.0375498710,150.4182942738
136,420.2785280906,-573.9410913363,-951.5996799064,-1.0895586472,-0.9387408078,122.5138020954,711.3665844684
137,347.5891089640,-221.2630976109,-484.6600563192,-0.9904995265,-0.5668726026,67.9067947552,412.0382834577
138,28.2047202357,58.0679313874,45.9813505054,0.5360615289,1.1186383342,50.2408388597,64.5553320741
139,411.9510226216,-392.7409416734,-1987.7364872133,-1.9559152860,-0.7615301073,72.3710238668,569.1652592222
140,14.6051310010,26.3109033357,-37.5333277878,-0.4269187449,1.0640474975,79.8175411910,30.0927480616
141,66.7264590334,-64.9851322059,3.7989091940,0.0384768383,-0.7721781775,32.6769443862,93.1422983555
142,55.2060515130,-6.5034216797,-174.5062578375,-1.8252610117,-0.1172622538,15.6638541590,55.5877919799
143,87.1827270347,-65.1230974402,-113.0434897874,-0.8848375686,-0.6415606757,28.5051988160,108.8202449612
144,232.0781278989,-68.4059246691,540.8337707520,1.5285569987,-0.2866369024,45.1796905180,241.9496393444
145,64.4246763506,-34.5770353061,-203.3205120682,-1.6927625278,-0.4925785225,25.5377878866,73.1170998703
146,234.8933956698,114.4274943813,83.1272576345,0.3077948401,0.4533120317,49.0999005957,261.2825267783
147,154.1509269673,-464.4532437639,88.0208589544,0.1748474070,-1.2503384690,106.6807654230,489.3662472297
148,483.0448129759,-28.7992203245,1081.7279357508,1.5355329207,-0.0595496923,67.1154720021,483.9025588218
149,118.9153039423,-80.7968637755,130.9150494913,0.7890903718,-0.5967996653,42.3059623788,143.7671127471
150,975.3212518582,1398.4865630584,845.5380892373,0.4753963445,0.9618094162,168.7413057548,1704.9974226904
151,86.4690644169,-446.9138202324,-163.7722128886,-0.3163448293,-1.3796774008,228.1265832159,455.2020011114
152,262.1279684684,-57.6782928483,318.7689217184,0.9985525704,-0.2165872014,42.6259352060,268.3986909791
153,42.8296062030,-59.2196879406,113.8406025269,1.1329042059,-0.9446476135,36.7948799039,73.0845168780
154,262.4978719858,-9.0779892064,-567.9478215526,-1.5033332057,-0.0345693192,40.4565113239,262.6547975673
155,66.6436000238,-114.5188823371,207.8909844060,1.1721282355,-1.0437589525,52.2597949964,132.4988446586
156,53.0433344837,-49.4979436520,-18.9716219144,-0.2161378182,-0.7508366762,48.1876445186,72.5509597382
157,34.8358082896,-108.2541309324,-114.9251004619,-0.8257354698,-1.2594645411,50.7624140242,113.7211079928
158,37.2756197433,255.4025065955,847.2832994252,1.8969621185,1.4258710352,31.9536510069,258.1083342368
159,1004.1506115089,688.5866294329,1318.4060816278,0.9356001751,0.6010915081,112.8811636166,1217.5672453000
