NID,LID,px,py,pz,eta,phi
0.0000000000,0.0000000000,1.1209600000,-3.3065000000,8.5878000000,1.6321740358,-1.2439391455
0.0000000000,0.0000000000,2.9989900000,0.0288199000,4.3534500000,1.1675963057,0.0096095728
0.0000000000,0.0000000000,1.0219300000,0.0060613300,2.6040000000,1.6649392181,0.0059311880
0.0000000000,0.0000000000,0.7327070000,-0.6835320000,1.5399800000,1.2150324006,-0.7506898607
0.0000000000,0.0000000000,1.6552200000,-0.5638720000,2.9481800000,1.2936976680,-0.3283325715
0.0000000000,0.0000000000,1.2061900000,-0.6512770000,3.3861400000,1.6361127241,-0.4950911550
0.0000000000,0.0000000000,3.5583800000,-1.6644300000,8.3880300000,1.5025238266,-0.4375158713
0.0000000000,0.0000000000,6.2983200000,-3.7675100000,15.4945000000,1.4922940101,-0.5390779619
0.0000000000,0.0000000000,1.6224800000,-0.8192040000,4.1120000000,1.5551702103,-0.4675667221
0.0000000000,0.0000000000,7.3450700000,-4.3418200000,19.2971000000,1.5548721567,-0.5338647260
0.0000000000,0.0000000000,49.3782000000,-27.4570000000,127.9030000000,1.5557586263,-0.5074801517
0.0000000000,0.0000000000,3.2229400000,-1.7857300000,8.3052300000,1.5518003677,-0.5059615634
0.0000000000,0.0000000000,13.0888000000,-7.5631400000,33.3415000000,1.5319719754,-0.5239607154
0.0000000000,0.0000000000,15.0475000000,-8.5838600000,38.4929000000,1.5387190826,-0.5184087941
0.0000000000,0.0000000000,24.0583000000,-13.7459000000,60.8153000000,1.5275224224,-0.5190928446
0.0000000000,0.0000000000,3.2036700000,-1.8235500000,8.1392000000,1.5329481556,-0.5174694609
0.0000000000,0.0000000000,6.8731400000,-3.6805200000,17.2396000000,1.5342777257,-0.4916374053
0.0000000000,0.0000000000,34.8493000000,-18.8758000000,86.7549000000,1.5250824888,-0.4964026937
0.0000000000,0.0000000000,23.9272000000,-13.2854000000,60.2739000000,1.5306290391,-0.5068593037
0.0000000000,0.0000000000,5.9779600000,-3.2985400000,15.1375000000,1.5367130647,-0.5042115090
0.0000000000,0.0000000000,5.9011300000,-3.2566400000,14.8757000000,1.5325707135,-0.5042756197
0.0000000000,0.0000000000,33.0000000000,-18.2218000000,83.3304000000,1.5340193289,-0.5045121233
0.0000000000,0.0000000000,17.0671000000,-9.4077800000,43.0927000000,1.5342908833,-0.5037817766
0.0000000000,1.0000000000,-2.2396300000,-0.6725230000,-0.4664710000,-0.1981810452,-2.8498761707
0.0000000000,1.0000000000,-0.9510800000,-0.3627060000,0.0424861000,0.0417270962,-2.7772558287
0.0000000000,1.0000000000,-1.3772800000,1.4762100000,-1.9332100000,-0.8510287499,2.3215385458
0.0000000000,1.0000000000,1.0174400000,0.3468650000,1.3103000000,1.0280482769,0.3285623760
0.0000000000,1.0000000000,0.8368790000,1.3487900000,-9.5186900000,-2.4912348762,1.0154637064
0.0000000000,1.0000000000,-0.0440395000,-1.0370400000,-3.5699300000,-1.9489161945,-1.6132373656
0.0000000000,1.0000000000,-1.8303300000,-0.5828110000,-0.9704830000,-0.4858834994,-2.8333249310
0.0000000000,1.0000000000,-1.0939400000,0.3749330000,-0.2705940000,-0.2319108724,2.8114033921
0.0000000000,1.0000000000,-1.3121000000,0.9743400000,-2.8316400000,-1.3172469558,2.5028568983
0.0000000000,1.0000000000,-1.2047600000,-0.0838094000,-0.3669250000,-0.2993381092,-3.0721393204
0.0000000000,1.0000000000,1.8739000000,-0.3137960000,0.8128270000,0.4157266896,-0.1659166836
0.0000000000,2.0000000000,-1.3353400000,-0.3398210000,-3.8053500000,-1.7402686699,-2.8923993988
0.0000000000,2.0000000000,0.1903870000,2.1076000000,-1.2458300000,-0.5591248866,1.4807072878
0.0000000000,2.0000000000,-0.7002140000,-2.2997300000,11.6406000000,2.2810214400,-1.8663550282
0.0000000000,2.0000000000,-2.1271600000,-1.0873900000,-11.6299000000,-2.2862458736,-2.6690305325
0.0000000000,2.0000000000,-1.3544300000,-0.2141220000,6.4877000000,2.2583177600,-2.9848001526
